Id,Name,Tm,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SF,IBB,Name-additional
730,Cole Tucker,PIT,18,63,3,11,1,1,0,2,1,0,0,25,0,0,0,tuckeco01
731,Kyle Tucker,HOU,150,544,71,140,28,1,30,107,25,4,59,95,1,2,4,tuckeky01
732,Justin Turner,LAD,128,468,61,130,36,0,13,81,3,0,50,89,6,8,1,turneju01
733,Trea Turner,LAD,160,652,101,194,39,4,21,100,27,3,45,131,3,6,1,turnetr01
734,Justin Upton,SEA,17,48,2,6,1,0,1,3,0,0,6,23,3,0,0,uptonju01
735,Luis Urias,MIL,119,406,54,97,17,1,16,47,1,2,50,99,11,5,0,uriaslu01
736,Ramon Urias,BAL,118,403,50,100,17,1,16,51,1,0,30,98,5,4,1,uriasra01
737,Gio Urshela,MIN,144,501,61,143,27,3,13,64,1,0,41,96,2,7,2,urshegi01
738,Josh VanMeter,PIT,67,171,15,32,5,2,3,14,4,0,19,45,0,2,0,vanmejo01
739,Ildemaro Vargas,TOT,63,209,19,55,13,1,4,23,3,1,8,23,3,1,0,vargail01
740,Miguel Vargas,LAD,18,47,4,8,1,0,1,8,1,0,2,13,0,1,0,vargami01
741,Daulton Varsho,ARI,151,531,79,125,23,3,27,74,16,6,46,145,7,5,0,varshda01
742,Andrew Vaughn,CHW,134,510,60,138,28,1,17,76,0,0,31,96,9,5,0,vaughan01
743,Terrin Vavra,BAL,40,89,14,23,2,1,1,12,0,1,12,19,0,2,0,vavrate01
744,Christian Vazquez,TOT,119,398,41,109,23,0,9,52,1,4,22,69,3,3,0,vazquch01
745,Andrew Velazquez,LAA,125,322,37,63,8,0,9,28,17,1,15,119,3,3,0,velazan01
746,Nelson Velázquez,CHC,77,185,20,38,7,3,6,26,5,2,19,65,2,0,0,velazne01
747,Alex Verdugo,BOS,152,593,75,166,39,1,11,74,1,3,42,86,3,6,2,verdual01
748,Mark Vientos,NYM,16,36,3,6,1,0,1,3,0,0,5,12,0,0,0,vientma01
749,Matt Vierling,PHI,117,325,41,80,12,2,6,32,7,4,23,70,3,6,0,vierlma01
750,David Villar,SFG,52,156,21,36,6,1,9,24,0,1,18,58,6,1,0,villada01
751,Jonathan Villar,TOT,59,202,25,42,6,2,3,18,7,0,15,59,0,2,0,villajo01
752,Meibrys Viloria,TEX,26,63,10,10,1,0,2,5,0,0,11,29,0,1,0,vilorme01
753,Daniel Vogelbach,TOT,130,386,47,92,19,1,18,59,0,0,73,114,1,1,2,vogelda01
754,Stephen Vogt,OAK,70,168,18,27,4,1,7,23,1,0,17,46,2,4,0,vogtst01
755,Luke Voit,TOT,135,500,55,113,22,0,22,69,1,1,55,179,7,6,1,voitlu01
756,Jason Vosler,SFG,36,98,14,26,6,1,4,12,1,1,10,29,2,1,1,vosleja01
757,Joey Votto,CIN,91,322,31,66,18,1,11,41,0,0,44,97,10,0,0,vottojo01
758,LaMonte Wade Jr.,SFG,77,217,29,45,7,1,8,26,1,0,26,51,5,1,0,wadela01
759,Tyler Wade,LAA,67,147,22,32,5,0,1,8,8,5,10,33,1,0,0,wadety01
760,Christian Walker,ARI,160,583,84,141,25,2,36,94,2,2,69,131,8,7,2,walkech02
761,Steele Walker,TEX,5,14,1,1,0,0,1,1,0,0,2,4,0,0,0,walkest01
